date,time,consumption,prediction
2015-06-10,04:30,23827,23739.566160202026
2015-06-10,04:40,23986,23879.148339271545
2015-06-10,04:50,23778,24079.452579021454
2015-06-10,05:00,23488,23927.07814359665
2015-06-10,05:10,23958,23762.723726511
2015-06-10,05:20,23634,24047.76003718376
2015-06-10,05:30,24169,23817.23898124695
2015-06-10,05:40,24318,24357.174795627594
2015-06-10,05:50,24259,24385.61329984665
2015-06-10,06:00,24352,24589.269366264343
2015-06-10,06:10,25029,24803.322680473328
2015-06-10,06:20,25506,25242.4014377594
2015-06-10,06:30,25498,25999.853023052216
2015-06-10,06:40,25795,26194.428865909576
2015-06-10,06:50,25827,26367.537213802338
2015-06-10,07:00,26203,26366.1359000206
2015-06-10,07:10,27443,26903.832114696503
2015-06-10,07:20,27940,27898.33554983139
2015-06-10,07:30,28109,28469.88060426712
2015-06-10,07:40,28716,28909.32812833786
2015-06-10,07:50,28939,29326.516625881195
2015-06-10,08:00,29314,29699.863362312317
2015-06-10,08:10,30037,29858.905891418457
2015-06-10,08:20,30614,30384.2023229599
2015-06-10,08:30,30803,31039.449535369873
2015-06-10,08:40,30957,31255.88666343689
2015-06-10,08:50,31030,31154.50608921051
2015-06-10,09:00,30725,31103.40686607361
2015-06-10,09:10,31403,30966.43898010254
2015-06-10,09:20,31686,31291.704454421997
2015-06-10,09:30,31841,31708.335850715637
2015-06-10,09:40,32010,32037.092756271362
2015-06-10,09:50,32204,32085.953038215637
2015-06-10,10:00,32379,32339.668537139893
2015-06-10,10:10,32493,32431.753554344177
2015-06-10,10:20,32841,32652.841094970703
2015-06-10,10:30,32975,32853.01560783386
2015-06-10,10:40,33145,33070.91199874878
2015-06-10,10:50,33221,33236.07869052887
2015-06-10,11:00,33142,33270.96666240692
2015-06-10,11:10,33242,33243.97820186615
2015-06-10,11:20,33354,33292.29323577881
2015-06-10,11:30,33569,33376.563031196594
2015-06-10,11:40,33770,33498.77761173248
2015-06-10,11:50,33958,33808.86701583862
2015-06-10,12:00,33599,33977.34602355957
2015-06-10,12:10,33738,33607.66785812378
2015-06-10,12:20,34206,33695.77151107788
2015-06-10,12:30,33997,34182.19860649109
2015-06-10,12:40,34056,33954.05181598663
2015-06-10,12:50,34435,33981.20885562897
2015-06-10,13:00,34140,34221.86342525482
2015-06-10,13:10,34216,34029.60291099548
2015-06-10,13:20,34572,34290.095816612244
2015-06-10,13:30,33976,34266.85955810547
2015-06-10,13:40,34060,34068.10084629059
2015-06-10,13:50,34047,34120.40909767151
2015-06-10,14:00,33846,33931.14744758606
2015-06-10,14:10,33400,33737.7542924881
2015-06-10,14:20,33437,33284.74010181427
2015-06-10,14:30,33023,33213.684010505676
2015-06-10,14:40,32878,32904.71275997162
2015-06-10,14:50,32929,32706.77060317993
2015-06-10,15:00,32633,32632.73013496399
2015-06-10,15:10,32700,32541.13505077362
2015-06-10,15:20,32531,32595.93511199951
2015-06-10,15:30,32311,32456.024993896484
2015-06-10,15:40,32434,32232.093997955322
2015-06-10,15:50,32366,32312.876313209534
2015-06-10,16:00,32275,32274.29935646057
2015-06-10,16:10,32541,32328.5054397583
2015-06-10,16:20,32778,32561.904522895813
2015-06-10,16:30,32634,32745.641256332397
2015-06-10,16:40,32698,32582.407956123352
2015-06-10,16:50,32256,32675.657222747803
2015-06-10,17:00,32479,32309.35985851288
2015-06-10,17:10,32783,32520.8792181015
2015-06-10,17:20,32718,32748.05272769928
2015-06-10,17:30,32603,32767.789652824402
2015-06-10,17:40,32835,32626.77060031891
2015-06-10,17:50,32818,32784.5303478241
2015-06-10,18:00,32436,32844.85137462616
2015-06-10,18:10,32444,32513.256281852722
2015-06-10,18:20,32082,32394.128806114197
2015-06-10,18:30,32247,31996.05033016205
2015-06-10,18:40,32471,32160.241106987
2015-06-10,18:50,32169,32393.37415122986
2015-06-10,19:00,31673,32200.717212677002
2015-06-10,19:10,31766,31608.56731414795
2015-06-10,19:20,31718,31568.654894828796
2015-06-10,19:30,31694,31624.087127685547
2015-06-10,19:40,31752,31530.012086868286
2015-06-10,19:50,31512,31653.11302471161
2015-06-10,20:00,31547,31430.958694458008
2015-06-10,20:10,31450,31488.764204978943
2015-06-10,20:20,31472,31381.55843257904
2015-06-10,20:30,31497,31395.136952400208
2015-06-10,20:40,31232,31421.075744628906
2015-06-10,20:50,31328,31197.34361934662
2015-06-10,21:00,31251,31319.455471992493
2015-06-10,21:10,31387,31220.23218345642
2015-06-10,21:20,31294,31355.212679862976
2015-06-10,21:30,31386,31337.87932395935
2015-06-10,21:40,31616,31323.351229667664
2015-06-10,21:50,31931,31556.131311416626
2015-06-10,22:00,31798,31859.312923431396
2015-06-10,22:10,31508,31806.41596221924
2015-06-10,22:20,30877,31506.163412094116
2015-06-10,22:30,30431,30744.74034023285
2015-06-10,22:40,30373,30246.06623649597
2015-06-10,22:50,29934,30071.426189422607
2015-06-10,23:00,29570,29600.912697792053
2015-06-10,23:10,29211,29202.803930282593
2015-06-10,23:20,28867,28753.58145236969
2015-06-10,23:30,28204,28565.753383159637
2015-06-10,23:40,27783,27904.800163269043
2015-06-10,23:50,27323,27403.78373193741
2015-06-11,00:00,27101,26937.63420009613
2015-06-11,00:10,27564,26706.70651292801
2015-06-11,00:20,27141,26979.364112854004
2015-06-11,00:30,27170,26897.36486721039
2015-06-11,00:40,26590,26789.060038089752
2015-06-11,00:50,26364,26357.292082309723
2015-06-11,01:00,25748,26101.84469652176
2015-06-11,01:10,25768,25600.302772521973
2015-06-11,01:20,25565,25502.59011077881
2015-06-11,01:30,25153,25316.88771867752
2015-06-11,01:40,24768,25015.594719409943
2015-06-11,01:50,24977,24599.44601249695
2015-06-11,02:00,24889,24641.570374011993
2015-06-11,02:10,24740,24546.527978897095
2015-06-11,02:20,24477,24447.984933376312
2015-06-11,02:30,24258,24263.188653945923
2015-06-11,02:40,24094,24180.837104320526
2015-06-11,02:50,24257,24047.71657538414
2015-06-11,03:00,24173,24173.515766620636
2015-06-11,03:10,23900,24141.11894607544
2015-06-11,03:20,23947,23964.92579817772
2015-06-11,03:30,24077,23860.041610240936
2015-06-11,03:40,23882,23919.799279928207
2015-06-11,03:50,23876,23893.705408096313
2015-06-11,04:00,23609,23817.261370658875
2015-06-11,04:10,23960,23638.99028778076
2015-06-11,04:20,23843,23855.333248615265
2015-06-11,04:30,23710,23846.4324696064
2015-06-11,04:40,23707,23709.260115623474
2015-06-11,04:50,23899,23786.0120074749
2015-06-11,05:00,23862,23950.031900405884
2015-06-11,05:10,23833,23899.351820230484
2015-06-11,05:20,24014,23849.793186187744
2015-06-11,05:30,24028,24101.10840845108
2015-06-11,05:40,23918,24223.565321445465
2015-06-11,05:50,24318,24165.571476459503
2015-06-11,06:00,24104,24325.13159608841
2015-06-11,06:10,24932,24388.41987848282
2015-06-11,06:20,25392,25240.029477119446
2015-06-11,06:30,25183,25767.311981201172
2015-06-11,06:40,25309,25685.364099502563
2015-06-11,06:50,25820,25896.521277427673
2015-06-11,07:00,26136,26114.5329079628
2015-06-11,07:10,26602,26751.656549930573
2015-06-11,07:20,27417,27219.61040496826
2015-06-11,07:30,27923,27787.3821849823
2015-06-11,07:40,28451,28518.63947534561
2015-06-11,07:50,28989,29312.033968925476
2015-06-11,08:00,28676,29966.269706726074
2015-06-11,08:10,29787,29488.02133178711
2015-06-11,08:20,30026,30023.308709144592
2015-06-11,08:30,30232,30407.310830116272
2015-06-11,08:40,30680,30661.58211326599
2015-06-11,08:50,30886,30845.345187187195
2015-06-11,09:00,30749,31127.634843826294
2015-06-11,09:10,31235,30921.808979988098
2015-06-11,09:20,31637,31378.508204460144
2015-06-11,09:30,31369,31670.81251335144
2015-06-11,09:40,31902,31569.36213684082
2015-06-11,09:50,32087,31934.720462799072
2015-06-11,10:00,32030,32087.148896217346
2015-06-11,10:10,32228,32221.896279335022
2015-06-11,10:20,32584,32268.93116569519
2015-06-11,10:30,32474,32577.525747299194
2015-06-11,10:40,32834,32624.975496292114
2015-06-11,10:50,33063,32861.61709308624
2015-06-11,11:00,32795,33168.37442588806
2015-06-11,11:10,32855,32865.03872203827
2015-06-11,11:20,32960,32828.5716381073
2015-06-11,11:30,32960,32887.96284580231
2015-06-11,11:40,33111,32925.56520462036
2015-06-11,11:50,33074,33100.72942733765
2015-06-11,12:00,33207,33065.41869068146
2015-06-11,12:10,33246,33188.140325546265
2015-06-11,12:20,33244,33136.509024620056
2015-06-11,12:30,33277,33183.820486068726
2015-06-11,12:40,33319,33201.86766910553
2015-06-11,12:50,33401,33265.55237579346
2015-06-11,13:00,33193,33289.70791721344
2015-06-11,13:10,33236,33232.25273513794
2015-06-11,13:20,33320,33149.5462474823
